album_number,album,track_number,song,artist,url,release_date
1,AD MARE,1,占 (TANK),NMIXX,https://youtu.be/8wCuNnlk50k,2022년 2월 22일
1,AD MARE,2,O.O,NMIXX,https://youtu.be/P8W4p5UIfqA,2022년 2월 22일
2,ENTWURF,1,DICE,NMIXX,https://youtu.be/WX-9EL7fqdg,2022년 9월 19일
2,ENTWURF,2,COOL (Your rainbow),NMIXX,https://youtu.be/PluoENBB_3s,2022년 9월 19일
3,Funky Glitter Christmas,1,Funky Glitter Christmas,NMIXX,https://youtu.be/GPYTXt9WTWU,2022년 11월 23일
4,expérgo,1,"Young, Dumb, Stupid",NMIXX,"https://youtu.be/Fmiu0L9XSVg ",2023년 3월 20일
4,expérgo,2,Love Me Like This,NMIXX,https://youtu.be/FxuVJeeKK_4,2023년 3월 20일
4,expérgo,3,PAXXWORD,NMIXX,https://youtu.be/LDWPLxbCRcQ,2023년 3월 20일
4,expérgo,4,Just Did It,NMIXX,https://youtu.be/5uoCxrKNsVc,2023년 3월 20일
4,expérgo,5,My Gosh,NMIXX,https://youtu.be/fc7BBRW__Bc,2023년 3월 20일
4,expérgo,6,HOME,NMIXX,https://youtu.be/A3CmKRfRO88,2023년 3월 20일
5,A Midsummer NMIXX's Dream,1,Party O'Clock,NMIXX,https://youtu.be/AzYxoB-Lm_U,2023년 7월 11일
5,A Midsummer NMIXX's Dream,2,Roller Coaster,NMIXX,https://youtu.be/cr8SBb5cuoY,2023년 7월 11일
6,Fe3O4: BREAK,1,DASH,NMIXX,"https://youtu.be/lgvM9exghpY ",2024년 1월 15일
6,Fe3O4: BREAK,2,Soñar (Breaker),NMIXX,https://youtu.be/QfrxX7yv97k,2024년 1월 15일
6,Fe3O4: BREAK,3,Run For Roses,NMIXX,"https://youtu.be/k81ic6eN6nk ",2024년 1월 15일
6,Fe3O4: BREAK,4,BOOM,NMIXX,https://youtu.be/QQjLJ8MjZMc,2024년 1월 15일
6,Fe3O4: BREAK,5,Passionfruit,NMIXX,https://youtu.be/HNysLymztDs,2024년 1월 15일
6,Fe3O4: BREAK,6,XOXO,NMIXX,https://youtu.be/85-YwUU2QDk,2024년 1월 15일
6,Fe3O4: BREAK,7,Break The Wall,NMIXX,https://youtu.be/hicXm2GONcA,2024년 1월 15일
7,Fe3O4: STICK OUT,1,별별별 (See that?),NMIXX,https://youtu.be/cWN7SD7kX5k,2024년 8월 19일
7,Fe3O4: STICK OUT,2,SICKUHH (Feat. Kid Milli),NMIXX,https://youtu.be/KQ8EqBKgmVg,2024년 8월 19일
7,Fe3O4: STICK OUT,3,"Red light sign, but we go",NMIXX,https://youtu.be/ddTDU3Glwdc,2024년 8월 19일
7,Fe3O4: STICK OUT,4,BEAT BEAT,NMIXX,https://youtu.be/tFjrC65PsUI,2024년 8월 19일
7,Fe3O4: STICK OUT,5,Moving On,NMIXX,https://youtu.be/jjI5vJ0oVqs,2024년 8월 19일
7,Fe3O4: STICK OUT,6,Love Is Lonely,NMIXX,https://youtu.be/VV0ocN0U_vU,2024년 8월 19일
8,Fe3O4: FORWARD,1,High Horse,NMIXX,https://youtu.be/SvWV-9r-Lkw,2025년 3월 17일
8,Fe3O4: FORWARD,2,KNOW ABOUT ME,NMIXX,https://youtu.be/ewJBkYws3AA,2025년 3월 17일
8,Fe3O4: FORWARD,3,Slingshot (<★),NMIXX,https://youtu.be/lvy95Y1Bo-M,2025년 3월 17일
8,Fe3O4: FORWARD,4,Golden Recipe,NMIXX,https://youtu.be/IsyxQfVKL18,2025년 3월 17일
8,Fe3O4: FORWARD,5,Papillon,NMIXX,https://youtu.be/BNvTxSZzc5A,2025년 3월 17일
8,Fe3O4: FORWARD,6,Ocean,NMIXX,https://youtu.be/gZrd_qNEghU,2025년 3월 17일
0,YouTube,0,[리무진서비스] EP.29 엔믹스 릴리,LILY,https://youtu.be/l6rvOO9HktY?feature=shared,